,CLASS,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
,CDX,0.0032,-0.0371,-0.0113,-0.0175,-0.0135,0.0486,-0.0046,-0.0019,-0.0047,0.0043
,CDX,0.003,-0.0368,-0.0125,-0.0182,-0.0143,0.0504,0.0021,-0.0082,-0.0021,-0.0014
,CDX,0.0031,-0.0364,-0.012,-0.0179,-0.0163,0.0499,0.0012,0.0005,-0.0019,-0.0026
,CDX,0.003,-0.0374,-0.0129,-0.0168,-0.0151,0.0512,-0.0044,-0.0008,0,-0.0016
,CDX,0.0029,-0.0365,-0.0103,-0.0182,-0.0131,0.0444,-0.0057,0.0009,-0.0004,0.0023
,CDX,0.0028,-0.037,-0.0134,-0.016,-0.0137,0.0471,0.0011,-0.0041,-0.0045,0.0041
,CDX,0.0026,-0.0371,-0.0108,-0.0169,-0.0173,0.0496,0,-0.0033,0.0001,0.0001
,CDX,0.003,-0.0373,-0.0114,-0.0172,-0.0158,0.0484,-0.0008,0.005,0.0049,-0.0029
,CDX,0.0028,-0.0365,-0.0108,-0.0151,-0.0163,0.0423,0.002,0.0015,-0.0007,-0.0011
,CDX,0.0032,-0.037,-0.0114,-0.0161,-0.0154,0.0395,-0.0054,-0.0029,-0.0037,-0.0032
,CDX,0.0027,-0.0374,-0.0121,-0.017,-0.0189,0.0454,0.0031,-0.0067,0.0051,0.0011
,CDX,0.003,-0.0371,-0.0102,-0.0162,-0.0192,0.049,-0.002,-0.0055,-0.0029,0.0058
,CDX,0.003,-0.037,-0.0119,-0.0181,-0.0198,0.0495,0.0027,-0.0025,-0.0075,-0.0049
,CDX,0.0028,-0.0368,-0.0119,-0.0162,-0.0193,0.0495,0.0007,-0.0025,-0.006,0.0006
,CDX,0.0031,-0.0371,-0.0135,-0.0169,-0.0182,0.0495,-0.0015,-0.004,-0.0006,0.0036
,CDX,0.0029,-0.0377,-0.0126,-0.0183,-0.0155,0.05,-0.0017,0.0004,0,0.0008
,CDX,0.0028,-0.0369,-0.0116,-0.0169,-0.0165,0.0435,-0.0012,-0.0005,-0.0029,-0.0009
,CDX,0.0032,-0.0372,-0.0116,-0.0163,-0.0166,0.051,-0.002,-0.0039,-0.0056,-0.0075
,CDX,0.0027,-0.0371,-0.0113,-0.0161,-0.02,0.0542,-0.0002,-0.0007,-0.0095,-0.0005
,CDX,0.0035,-0.0368,-0.0123,-0.0132,-0.0039,0.0045,0.0024,0.0017,0.0034,0.0021
,CDX,0.0031,-0.0378,-0.0121,-0.0167,-0.0172,0.0481,0.003,0.0008,-0.0072,-0.0021
,CDX,0.0028,-0.0369,-0.013,-0.017,-0.0167,0.0402,-0.004,0.0014,-0.0028,0.0032
,CDX,0.0028,-0.0366,-0.011,-0.0176,-0.0122,0.0519,-0.0014,-0.0034,0.0002,0.006
,CDX,0.0028,-0.0368,-0.0112,-0.016,-0.0139,0.0404,-0.0016,-0.0002,-0.0058,-0.0102
,CDX,0.0031,-0.0369,-0.0115,-0.0168,-0.014,0.049,-0.0004,-0.002,0.0018,0.0007
,CDX,0.003,-0.0368,-0.0116,-0.0174,-0.0154,0.0479,-0.0032,-0.0001,0.0034,-0.0023
,CDX,0.0025,-0.0368,-0.0129,-0.0171,-0.0175,0.0536,-0.0031,0.0017,-0.0032,-0.0003
,CDX,0.0028,-0.0366,-0.0112,-0.0176,-0.015,0.0488,0.0009,-0.0024,-0.005,0.0023
,CDX,0.0034,-0.0371,-0.0119,-0.0177,-0.0162,0.0424,0.0044,-0.0023,-0.0094,-0.0035
,CDX,0.0032,-0.0367,-0.0114,-0.0184,-0.0157,0.0525,-0.0025,-0.0056,0.0023,0.003
,CDX,0.003,-0.0365,-0.0109,-0.0166,-0.0156,0.0501,-0.0021,-0.0039,-0.0025,0.0067
,CDX,0.0029,-0.0371,-0.0123,-0.0179,-0.0182,0.0532,-0.0054,0.0005,-0.0071,-0.0029
,CDX,0.0029,-0.0372,-0.0124,-0.0156,-0.0186,0.0463,0.0005,0.0036,-0.0067,0.0027
,CDX,0.0028,-0.037,-0.0114,-0.0168,-0.0139,0.0434,0.0008,0.0032,-0.0025,-0.0019
,CDX,0.0029,-0.0367,-0.0109,-0.016,-0.0146,0.0501,-0.0012,-0.0066,-0.0058,-0.0095
